Country,water_pollution,air_quality,life_expectancy,hepatitis_b,adult_mortality,population
Afghanistan,53.44,37.21,58.19,64.56,269.06,41128771
Albania,57.83,51.87,75.16,98.0,45.06,2842321
Algeria,50.62,57.61,73.62,78.0,108.19,44903225
Angola,81.25,15.0,49.02,70.22,328.56,35588987
Argentina,54.28,68.15,75.16,81.29,106.0,45510318
Armenia,45.0,22.27,73.4,87.56,117.38,2780469
Australia,31.98,80.6,81.81,93.4,63.19,26177413
Austria,37.73,83.49,81.48,81.06,65.75,8939617
Azerbaijan,69.02,29.9,70.73,59.21,115.19,10358074
Bahrain,62.47,32.66,75.72,98.12,65.38,1472233
Bangladesh,59.12,37.14,69.3,77.62,141.38,171186372
Barbados,46.67,88.33,74.36,84.07,77.62,281635
Belarus,42.5,50.51,69.91,88.94,218.75,9534954
Belgium,48.91,67.73,80.68,74.5,70.19,11655930
Belize,70.49,78.12,69.27,94.75,155.5,405272
Benin,100.0,25.0,57.57,62.57,269.38,13352864
Bhutan,55.0,59.82,66.16,94.12,230.25,782455
Bosnia and Herzegovina,45.75,57.3,75.97,71.67,64.94,3233526
Botswana,56.25,64.8,56.05,87.31,448.12,2630296
Brazil,52.75,63.29,73.38,96.19,150.69,215313498
Bulgaria,42.78,43.88,72.85,94.5,125.5,6781953
Burundi,87.5,25.0,55.54,93.33,291.56,12889576
Cambodia,67.03,56.71,64.34,79.6,196.38,16767842
Cameroon,72.13,28.81,54.02,76.82,294.88,27914536
Canada,32.55,84.29,81.69,28.85,64.62,38454327
Central African Republic,100.0,0.0,48.51,42.57,333.06,5579144
Chad,26.39,68.06,50.39,29.88,227.75,17723315
Chile,48.02,35.99,79.45,77.2,63.62,19603733
Colombia,53.53,59.76,73.29,79.0,124.25,51874024
Costa Rica,35.81,66.88,78.59,79.31,69.38,5180829
Croatia,24.54,76.91,76.12,96.22,89.0,4030358
Cuba,75.0,15.56,77.97,96.25,57.56,11212191
Cyprus,39.12,62.93,79.68,92.62,54.12,1251488
Djibouti,54.17,54.17,60.76,78.0,274.69,1120849
Dominican Republic,63.76,30.93,72.34,65.12,143.5,11228821
Ecuador,62.6,57.43,74.72,78.06,132.12,18001000
Egypt,63.01,46.0,71.5,96.69,170.62,110990103
El Salvador,76.56,18.42,71.74,86.06,155.06,6336392
Equatorial Guinea,53.33,31.67,55.31,9.0,279.38,1674908
Eritrea,25.0,100.0,60.69,86.43,308.62,3684032
Estonia,28.31,94.19,74.94,86.83,169.69,1326062
Ethiopia,64.85,52.42,59.11,64.11,285.56,123379924
Fiji,78.97,41.16,68.71,98.88,125.0,929766
France,34.77,72.38,82.22,51.25,73.12,64626628
Gabon,87.5,37.5,62.24,57.64,220.44,2388992
Georgia,54.61,48.06,73.51,77.25,114.94,3744385
Germany,33.5,83.77,81.18,77.44,71.25,83369843
Ghana,69.15,50.19,60.86,67.5,180.06,33475870
Greece,33.78,76.59,81.22,88.94,73.62,10384971
Grenada,52.78,57.22,73.29,95.47,153.75,125438
Guatemala,66.03,33.53,71.73,87.09,131.19,17843908
Guinea,93.75,5.0,56.01,58.67,259.88,13859341
Guyana,65.28,62.94,65.64,88.2,203.94,808726
Haiti,68.75,12.5,59.87,40.67,168.31,11584996
Honduras,76.26,37.74,72.99,95.06,142.0,10432860
India,62.49,44.12,65.42,35.0,146.56,1417173173
Indonesia,30.45,66.0,67.56,73.56,166.56,275501339
Iraq,72.54,20.19,70.36,64.88,136.75,44496122
Ireland,34.48,82.84,80.15,86.83,72.44,5023109
Israel,45.4,33.38,81.3,97.44,59.5,9038309
Italy,45.84,58.03,82.19,95.5,54.19,59037474
Jamaica,53.04,66.16,74.29,83.15,141.25,2827377
Jordan,57.96,42.88,72.99,97.0,114.31,11285869
Kazakhstan,69.65,13.74,66.76,97.31,232.06,19397998
Kenya,49.31,75.57,57.48,74.57,348.56,54027487
Kuwait,56.9,35.14,73.84,98.19,83.25,4268873
Kyrgyzstan,48.66,39.52,69.08,85.56,173.69,6630623
Latvia,21.13,84.52,73.73,88.94,161.81,1850651
Lebanon,90.76,29.94,74.2,70.5,65.31,5489739
Lesotho,80.0,45.83,48.78,73.23,550.06,2305825
Liberia,68.75,8.33,57.52,49.12,246.94,5302681
Libya,64.55,54.23,72.49,96.31,139.69,6812341
Lithuania,44.25,71.68,72.81,94.75,117.25,2750055
Luxembourg,45.74,71.82,80.78,92.38,67.56,647599
Madagascar,77.45,13.64,62.74,63.36,228.81,29611714
Malawi,47.5,72.5,49.89,89.57,424.44,20405317
Malaysia,61.14,49.72,73.76,96.0,118.56,33938221
Maldives,93.75,42.79,75.54,97.88,83.19,523787
Mali,62.5,15.0,54.94,67.15,202.12,22593590
Malta,61.95,29.93,80.36,80.54,60.75,533286
Mauritania,37.5,43.75,62.8,57.64,159.94,4736139
Mauritius,71.73,62.5,72.71,96.19,163.56,1299469
Mexico,49.55,64.56,75.72,94.44,111.06,127504125
Mongolia,55.43,23.59,65.89,97.44,222.12,3398366
Montenegro,36.73,63.14,74.5,48.5,92.75,627082
Morocco,49.27,59.82,72.16,87.25,95.19,37457971
Mozambique,79.69,36.3,53.39,67.87,226.25,32969517
Myanmar,51.05,12.46,64.2,65.46,154.31,54179306
Namibia,54.23,49.28,60.4,86.33,313.19,2567012
Nepal,60.83,48.34,66.48,65.38,147.25,30547580
New Zealand,39.91,83.79,81.34,70.19,71.5,5185288
Nicaragua,67.0,55.0,73.45,91.88,162.38,6948392
Niger,100.0,25.0,56.98,60.57,232.44,26207977
Nigeria,71.3,17.16,51.36,42.91,248.5,218541212
Oman,55.93,79.36,74.84,98.81,67.75,4576298
Pakistan,67.89,51.62,64.5,67.31,154.0,235824862
Panama,44.3,65.71,76.49,78.67,115.88,4408581
Papua New Guinea,69.23,54.95,61.68,57.0,266.56,10142619
Paraguay,33.5,69.83,73.11,82.15,139.94,6780744
Peru,60.57,42.76,73.66,83.69,122.44,34049588
Philippines,65.77,45.35,67.58,62.12,217.94,115559009
Poland,43.86,47.88,75.65,97.38,107.56,39857145
Portugal,37.53,83.65,79.99,87.62,58.88,10270865
Qatar,35.58,26.08,77.03,95.06,75.38,2695122
Romania,43.62,66.5,74.05,91.81,156.06,19659267
Rwanda,50.0,56.25,59.31,96.0,246.81,13776698
Saint Lucia,33.33,70.83,73.6,89.29,146.25,179857
Samoa,40.0,70.83,73.62,54.94,133.56,222382
Saudi Arabia,47.94,39.22,73.47,96.81,52.12,36408820
Senegal,53.5,30.17,62.57,86.42,174.19,17316449
Serbia,50.44,42.95,73.96,90.75,130.44,7221365
Seychelles,25.0,62.5,72.38,98.69,161.19,107118
Sierra Leone,100.0,25.0,46.11,83.44,357.81,8605718
Singapore,24.2,65.88,81.47,95.88,62.0,5975689
Slovakia,36.03,64.78,74.75,98.56,118.06,5643453
Solomon Islands,84.72,39.06,67.71,78.62,140.06,724273
Somalia,28.75,80.0,53.32,42.0,316.75,17597511
South Africa,56.74,52.79,57.5,66.5,412.75,59893885
South Sudan,75.0,62.5,53.88,31.0,346.31,10913164
Spain,36.75,79.9,82.07,92.5,63.62,47558630
Sri Lanka,59.09,53.7,73.4,90.62,144.38,21832143
Sudan,41.41,66.96,61.82,72.36,240.31,46874204
Suriname,54.55,61.36,70.08,85.27,166.0,618040
Sweden,18.84,82.94,82.52,59.2,59.19,10549347
Tajikistan,61.11,41.67,66.66,84.43,177.56,9952787
Thailand,54.36,42.74,73.08,97.0,160.38,71697030
Timor-Leste,68.75,79.69,64.76,76.0,170.38,1341296
Togo,75.0,37.5,56.66,76.62,311.31,8848699
Trinidad and Tobago,61.35,51.38,71.07,54.93,163.38,1531044
Tunisia,58.56,22.04,74.36,96.75,18.75,12356117
Turkey,44.18,33.11,73.91,87.06,98.38,85341241
Turkmenistan,18.06,80.56,64.62,97.29,214.81,6430770
Uganda,53.03,56.33,55.71,63.43,300.19,47249585
Ukraine,55.04,51.77,69.94,54.62,205.75,39701739
United Arab Emirates,41.14,47.26,75.7,93.88,67.06,9441129
Uruguay,30.01,85.62,76.08,94.31,119.94,3422794
Uzbekistan,49.17,56.45,68.03,95.64,184.81,34627652
Vanuatu,70.0,75.0,71.39,56.12,137.88,326740
Yemen,85.42,39.58,63.86,55.69,211.81,33696614
Zambia,80.77,45.83,53.91,69.82,354.31,20017675
Zimbabwe,74.11,45.33,50.49,70.56,462.38,16320537
